""	"Samp100"	"Samp101"	"Samp102"	"Samp103"	"Samp104"	"Samp105"	"Samp106"	"Samp107"	"Samp108"	"Samp109"	"Samp110"	"Samp111"	"Samp112"	"Samp113"	"Samp114"	"Samp115"	"Samp116"	"Samp117"	"Samp118"	"Samp119"	"Samp120"	"Samp121"	"Samp122"	"Samp123"	"Samp124"	"Samp125"	"Samp126"	"Samp127"	"Samp128"	"Samp129"	"Samp130"	"Samp131"	"Samp132"	"Samp133"	"Samp134"	"Samp135"	"Samp136"	"Samp137"	"Samp138"	"Samp139"	"Samp140"	"Samp141"	"Samp142"	"Samp143"	"Samp144"	"Samp145"	"Samp146"	"Samp168"	"Samp41"	"Samp42"	"Samp43"	"Samp44"	"Samp45"	"Samp46"	"Samp47"	"Samp48"	"Samp49"	"Samp50"	"Samp51"	"Samp52"	"Samp53"	"Samp54"	"Samp55"	"Samp56"	"Samp57"	"Samp58"	"Samp59"	"Samp60"	"Samp61"	"Samp62"	"Samp63"	"Samp64"	"Samp65"	"Samp66"	"Samp67"	"Samp68"	"Samp69"	"Samp70"	"Samp71"	"Samp72"	"Samp73"	"Samp74"	"Samp75"	"Samp76"	"Samp77"	"Samp78"	"Samp79"	"Samp80"	"Samp81"	"Samp82"	"Samp83"	"Samp84"	"Samp85"	"Samp86"	"Samp87"	"Samp99"
"ASV0942"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421088091628769	8.4167999326656e-05	0	0	0	0	0.0021953896816685	0.0014300134589502	0.00168010752688172	0.000167996640067199	0.00193553816376336	0.000336304018833025	0.00218487394957983	0.00218542489703287	0.00277217741935484	0	0.000504710632570659	0.00142869148667955	0.00151184276835209	0	0	0.00168152009416513	0.000841396718552798	0.00252079657171666	0.00117637173346778	0	0.000336304018833025	0.00160581473968898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0952"	0	0	0	0	0	0	0	0	0	0	0	8.41184387617766e-05	0	0	0.000336587007741501	0	0	0.000336275746111812	0	0	0.000336870473303015	0	0.000168236877523553	8.4005376344086e-05	0.00125997480050399	8.41538332071026e-05	0	0.000252100840336134	0.0002521644111961	0.000924059139784946	0	0.000420592193808883	8.40406756870325e-05	0	0.00126188272903172	0.000589027263547627	8.40760047082563e-05	0	0	0.000168053104781111	0.0011768661735037	0.000252228014124769	0.0028735632183908	0	0	0	0.00050449844446313	0	0	0	0	0	0.000336106209562222	0	0	0.000420309347679892	0	0.000420062169201042	0.000923903913992945	0	0.000840194925222652	0	0.000840336134453782	0	0	0	0.000587692049366132	0	0.00109225340278945	0	0	0	0.000587988240235195	0	0.0012620950778292	0.000923438549361988	0	0.00109206989247312	0.0031126440649449	0	0	0	0.00420344682639765	0.00151260504201681	0.00184905026054799	0.00386619599932762	0.00235057085292142	0.00873435794070715	0.00109170305676856	0	0	0	0.000167926112510495	0	0.00100806451612903	0
"ASV1022"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117518677075464	0	0.00167996640067199	0.00151095441954168	0.00159865376525032	0.0010913364674278	0.000757065948855989	0.00126008064516129	0.00117775721376293	0.00142761168962042	0	0.00176352032247229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1051"	0.0164793374461252	0.0193102285184248	0.0136386597070214	0.0171963247070724	0.017156862745098	0.0107209184534864	0.0154735589185513	0.0022002200220022	0.0188775510204082	0.117907273500638	0.0154014475677495	0.00479475100942126	0	0.00252016129032258	0.000925614271289128	0.0217281455280445	0.00606009595151923	0.0042875157629256	0.00067260803766605	0.00311107374085597	0.00101061141990905	0.0259224858566242	0.0039535666218035	0.000168010752688172	8.39983200335993e-05	0	0.000504456028249538	8.40336134453782e-05	0.0002521644111961	0.000504032258064516	0.000336473755047106	0.00588829071332436	0	0.000419956324542248	0.000252376545806343	0.000168293503870751	0.00235412813183118	0.000588977702986958	0	0.000252079657171666	0.000252185608607935	0.000756684042374306	0.000422582826233942	0.000588087036881458	0	0	0.000252249222231565	0	0	0	0	0	0.00302495588606	0	0	0.00100874243443174	0.00453705259620232	0	0.000335965059633798	0	0	0.000756811301715439	0.000252100840336134	0.00100831862868667	0.00151311365164761	0.00201545179711119	0.00260263621862144	0.00100781053162006	0.00226852629810116	0.00134363453140746	0	0	0	0	0	0	0	0	0	0.000167954316425932	0	0	0.000336275746111812	0	0.000588334173810725	0	0	0	0.00109170305676856	0	0.00621848739495798	0	0	0	0	0
"ASV1075"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420097462611326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00226643162931252	0	0	0.0016788382439352	0.00319730753050063	0.00142713230355944	0.00622476446837147	0.00319220430107527	0.00193488685118196	0.00293920053745381	0.00412215024817027	0.00310715485387974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1085"	0	0	0	0	0	0.00135066689177782	0.00909709233123619	0.0165016501650165	0.060969387755102	0.00238196512122501	0.0135499074229928	0.00235531628532974	0	0.00109206989247312	0.0153988556041737	0.000842176183257537	0.00084167999326656	0.00176544766708701	0	0.00201799377785252	0.0131379484588176	0.00118213290551381	0.00210296096904441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201884253028264	0.00084005376344086	0	0	0.00100950618322537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000671986560268795	0	0.000252419015565839	0	0.000588829071332436	0	0	0	0	0	0.00058848255569567	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1129"	0	0	0	0	0	0	0	0	0.000170068027210884	0	0	0.00715006729475101	0.00176411290322581	0.00924059139784946	0.00774150117805453	0.00682162708438605	0.00808012793535898	0.00470786044556536	0.00168152009416513	0.0177415286302867	0.00757958564931784	0.0119902051844972	0.00319650067294751	0.0011760752688172	0.00319193616127677	0.00412353782714803	0.000252228014124769	0.00310924369747899	0.0022694797007649	0.00193212365591398	0.00117765814266487	0.0274226110363392	0.00184889486511472	0.00134386023853519	0.00916968116429713	0.0074890609222484	0.00790314444257609	0.0270088346655448	0.00420132761952777	0.00218469036215444	0.00672494956287828	0.00748276441903481	0.0163116970926302	0.00369654708896917	0.00210048731305663	0.00251931474638898	0.0050449844446313	0.00319166806652108	0.000839419121967598	0.00109243697478992	0.00260438544904646	0.00109252878393142	0.00840265523905554	0.00159717552118359	0.00260701370784627	0.00252185608607935	0.00932616366997143	0.000840124338402084	0.00419956324542248	0.0017636684303351	0.00268862376071249	0.00117726202489068	0.00126050420168067	0.00201663725737333	0.00361466039004707	0.00167954316425932	0.00218285618335992	0.00125976316452507	0.00344479919341287	0.00100772589855559	0	0	0	0	0	0	0.00117765814266487	0.000756048387096774	0.000925380667956591	0	0	0	0.00336275746111812	0	0.000252143217347453	0.00126071608673727	0	0.00235155790711346	0.00134363453140746	0.00159489633173844	0.00126050420168067	0.00268704341254513	0.00327455919395466	0.00688381464069846	0.00428427419354839	0
"ASV1142"	0	0	0	0	0	0	0	0	0.000425170068027211	0	0	0.01278600269179	0.00571236559139785	0.0011760752688172	0.00395489734096264	0.00126326427488631	0.00387172796902618	0.0117696511139134	0.00319488817891374	0.00277474144454721	0.00387401044298467	0.00185763742295027	0.00370121130551817	0.00445228494623656	0.000167996640067199	0.00109399983169233	0.0053808643013284	0.00092436974789916	0.002521644111961	0.00042002688172043	0.000588829071332436	0.00454239569313594	8.40406756870325e-05	0.000251973794725349	0.0180869857827879	0.00210366879838438	0.00327896418362199	0.00572149768615902	0.000588185866733888	0.000252079657171666	0.015719569603228	0.00353119219774676	0.00202839756592292	0.00277241031672688	0.00352881868593514	0.00201545179711119	0.00807197511141007	0	0.00411315369764123	0.00403361344537815	0.00512475846425271	0.00747962013614589	0.0101672128392572	0.00949899125756557	0.0119418047262636	0.0110121049092132	0.0125189043858175	0.014114088885155	0.0141105325046195	0.00923826320651717	0.0109225340278945	0.0108476286579213	0.00831932773109244	0.0106713721536005	0.0148789509078682	0.0203224722875378	0.0123415330366888	0.0196523053665911	0.0134431188035624	0.0120087336244541	0.00310585075128011	0.000587642713230356	0.00176396472070559	0.00159489633173844	0.00201935212452671	0.00134318334452653	0.00841184387617766	0.00285618279569892	0.00370152267182636	0.00268726906281491	0.00555228400773955	0.00512260665099093	0.00327868852459016	0.00092436974789916	0.00596738947722306	0.00252143217347453	0.00638012088650101	0.00529100529100529	0.00243533758817602	0.00109124485855788	0	0.00335880426568142	0.000503778337531486	0.0010073875083949	0	0
"ASV1153"	0.0234936195385786	0.0242010287545324	0.02921367233541	0.0308522296215123	0.0214672075726842	0	8.50195544975344e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41184387617766e-05	0	0	0	0	0.000168067226890756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212548886243836
