""	"Samp01"	"Samp02"	"Samp03"	"Samp04"	"Samp05"	"Samp06"	"Samp07"	"Samp08"	"Samp09"	"Samp10"	"Samp11"	"Samp12"	"Samp13"	"Samp14"	"Samp15"	"Samp154"	"Samp155"	"Samp156"	"Samp157"	"Samp158"	"Samp159"	"Samp16"	"Samp160"	"Samp161"	"Samp162"	"Samp163"	"Samp164"	"Samp165"	"Samp166"	"Samp167"	"Samp17"	"Samp18"	"Samp19"	"Samp20"	"Samp21"	"Samp22"	"Samp23"	"Samp24"	"Samp25"	"Samp26"	"Samp27"	"Samp28"	"Samp29"	"Samp34"	"Samp35"	"Samp36"	"Samp37"	"Samp38"	"Samp39"	"Samp40"	"Samp88"	"Samp89"	"Samp90"	"Samp91"
"ASV1593"	0.0128519489304135	0.00616554054054054	0.00204185809086269	0.122171945701357	0.0209748641304348	0.35021915037087	0.154921276416604	0.00134702811921199	0.0013466879892265	0.852002027369488	0.726285666189715	0.0458150523118461	0.00201833319317131	0.930488933770933	0.100876453733356	0.000923361034164358	0.0010081492060825	0.000335824028209218	0.000839560070523046	0	0.64082078883189	0.000842530963012891	0	0.000167926112510495	0.088489631433129	0	0	0	0.00822699798522498	0.00991180176396472	0.197719594594595	0.480593992575093	0.00210296096904441	0.000756747666694694	0.00361101780315754	0.017062818336163	0.00766936514699617	0.00494669509594883	0.0270430654459139	0.00558753809685066	0.0174066599394551	0.00186109466204213	0.00286871414107324	0.0171593611960584	0.0332939986513823	0.00571812983518332	0.0021991034424427	0.000924447432557358	0.000672212419124443	0.00770533446232007	0.334778911564626	0.00489575419937537	0.309167722855936	0.00118133490844654
"ASV1602"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100908173562059	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1609"	0	0	0	0	0	0	0.000252589037635767	0	0.00101001599191987	0	0	0	0	0	0	0.0016788382439352	0	0	0.0036940643103014	0	0	0	0	0	0	0	0	0	0	0	0	0.000168747890651367	0	0.0290927436307071	8.39771582129661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211685012701101	0.00178571428571429	0	0	0
"ASV1649"	0	0.00211148648648649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100925147182506	0	0.000419991600167997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042247570764681	0
"ASV1707"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152905198776758	0	0	0	0	0	0	0	0	0	0.000506286389334233
"ASV1779"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238805970149254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1793"	0.00186015050308616	0.0035472972972973	0.000680619363620895	0.00025612567232989	0.00127377717391304	0.000758597437626433	0.000589374421150122	0	0.000673343994613248	0.000929211015374219	0.000168335998653312	0.000421869726628417	0	0.000589076832449718	0.000674195179504467	0	0.00142821137528354	8.39560070523046e-05	0	0	0	0.000337012385205156	0.000587840107490763	0	0	0	0	0	0	0	0	0.000168747890651367	0.000420592193808883	0.000252249222231565	0	0.00271646859083192	0.00298253089049851	0.0135607675906183	0.0137334689725331	0.00262444971215713	0.00630676084762866	0.00203028508586414	0.00143435707053662	0.00101936799184506	0.000674308833445718	0	8.45809016324114e-05	0	0	0	0	0.000928505106778087	0.00109843683988171	0.000421905324445194
"ASV1798"	0	0	0	0	0	0	0	0	0.000168335998653312	0	0	0	0	0	0.000168548794876117	0	0	0	0.000671648056418437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229357798165138	0	0	0	0	0	0	0	0	0	0
"ASV1805"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168747890651367	0	0	0	0	0.00034086067319983	0	0.00491692099016616	0	0	0	8.43739453256834e-05	8.49473326537547e-05	0	0	0	0	0	0	0	0	0	0
"ASV1807"	0	0	0	0.000170750448219927	0	8.42886041807148e-05	0	0	0	0	0	0.000168747890651367	0	0	0.00143266475644699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244684441444482	0	0	0	0	0	0	0	0	0	0.000507571271466035	0	0	0	0	8.45809016324114e-05	0	0	0.0259102455546147	0.00875850340136054	0	0	0
"ASV1811"	0.00160649361630168	0.00202702702702703	0.000680619363620895	0.000170750448219927	0.000679347826086957	0.000337154416722859	0	0	0	0	0.000252503997979968	0	0.000420486081910689	0.00117815366489944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000253378378378378	0	0.000336473755047106	0.000168166148154377	0	0	0.0011930123561994	0.00588486140724947	0.00542556798914886	0.00110057568574331	0	0.00101514254293207	0.000168747890651367	0.000169894665307509	0.000421443020903574	0	0	0	0	0	0.000340136054421769	0	0	8.43810648890389e-05
"ASV1827"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00288233299423533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00260679448368651	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1846"	0.000253656886784476	0	0.00153139356814701	8.53752241099633e-05	0.00636888586956522	0	0	0	0	0	0	0.00025312183597705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235492010092515	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000507571271466035	0.000337495781302734	0	0.00126432906271072	0	0	0	0	0	0	0.00253228665484933	0	0
"ASV1857"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153518123667377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1858"	0	0	0.00187170324995746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1878"	0	0	0.000170154840905224	0	8.49184782608696e-05	0	0	0	0	0.000675789829363068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43739453256834e-05	0	0	0	0.00730050933786078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50340136054422e-05	0	0	0
"ASV1882"	0	0	0	0	0.000934103260869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251931474638898	0.00424448217317487	0	0	0.00194981349610037	0	0.00294315506222671	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1895"	0	0	0	0	8.49184782608696e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42530963012891e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101291466193973	0	0
"ASV1931"	0	0.00219594594594595	0	0	0.000169836956521739	0	0	0	0	0	0	0	0.00109326381296779	0	0.000927018371818641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44594594594595e-05	0	0	0	0	0	0	0	0	0	0.00681130171543895	0	0	0.000424736663268773	0	0.00193407332660612	0	0	0	0	0	0	0	0
"ASV1957"	0.000676418364758603	0	0.00178662582950485	0	0	0.00016857720836143	0	0	0	0	0	0	0.000420486081910689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020249746878164	0	0	0	0	0.00477204942479761	0.00102345415778252	0	0.00584151710125296	0	0.000338380847644023	0.0020249746878164	0	0	0	0	0	8.40265523905554e-05	0.0162574089754445	0.0070578231292517	0	0.000168990283058724	0.00109695384355751
"ASV1975"	0.000760970660353429	0	8.50774204526119e-05	0.000170750448219927	0.0304008152173913	0.000590020229265003	0.000505178075271533	0	8.4167999326656e-05	0	0.000252503997979968	0	0	0.00143061516452074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168918918918919	0	0.000336473755047106	0.00100899688892626	0	0	0.000852151682999574	0	0	0.000761937013206908	0	0	0.000337495781302734	0.00297315664288141	0	0	0	0	0	0.000592718035563082	8.50340136054422e-05	0.0142652148223179	0	0.00295333727111636
"ASV1977"	0	0	0	0	0.000339673913043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127420998980632	0	0.000168180289270098	0	0	0	0	0	0.00202582932387946	0	0
"ASV1988"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000587840107490763	0	0	0	0	0	0	0	0	0.000587642713230356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420450723175244	0	0	0	0	0	0	0	0
"ASV1996"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262800949474398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1997"	0.00803246808150841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00497806277421532	0	0	0	0	0.0161908819769919	0	0.00169548999660902	0.0197257026752455	0	0.000761356907199053	0	0	0	0	0	0	0.000168053104781111	0.00668924640135478	0.0086734693877551	0	0	0
"ASV2001"	0	0.000591216216216216	0.000340309681810448	0	0.00118885869565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271646859083192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2009"	0.00109917984273273	0	0.000170154840905224	0	0.00127377717391304	0.00016857720836143	8.41963458785889e-05	0	0.000168335998653312	8.44737286703835e-05	8.4167999326656e-05	0.000590617617279784	8.40972163821378e-05	0	0	0	0	0	0	0	0	0.000168506192602578	0	0	0	0	0	0	0	0	0	0.000168747890651367	8.41184387617766e-05	0	0	0.00195246179966044	0.00161908819769919	0.00298507462686567	0.00245846049508308	0	0.00243861419441641	8.45952119110058e-05	0	0.000254841997961264	0	0.000168180289270098	0	0	0.000336106209562222	0	0	8.44095551616443e-05	0.00278833967046895	0
"ASV2010"	0	0	0.0178662582950485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2019"	0	0	0	0	0.000509510869565217	0	0	0.000505135544704496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185029436501262	0	0	0	0	0	0	0	0	0	0	0.00220413699559173	0	0	0	0	0.000594631328576283	0	0	0	0	0	0	0	0.000253228665484933	0	0.000168762129778078
"ASV2031"	0.000422761477974127	0	0	0	0.000424592391304348	0	0	0	0	0	0.00042083999663328	0.00278434019574755	0	0	0.000168548794876117	0	0	0	0.000419780035261523	0	0	0	0	0	0	0	0	0	0	0.000839983200335993	0.00329391891891892	0	0	0	0	0	0.000937366851299531	0	0	0	0	0	0	0	0	0	0	0.000168081351374065	0	0	0	0	0.000591465990705534	0
"ASV2064"	0	0	0	0.00264663194740886	0.00127377717391304	0.000927174645987862	0.0202913193567399	0.000420946287253746	8.4167999326656e-05	0.00253421186011151	0.00378755996969952	0.00261559230509619	0.000168194432764276	0.00176723049734915	0.0471093881678746	0	0	0	0	0	0.0095870826675637	0	0	0	0	0	0	0	0	0.000335993280134397	0.0258445945945946	0.000590617617279784	0	0	0	0	0	0.00400852878464819	0	0	0	0	0	8.49473326537547e-05	0.0028658125421443	0	0	0	0	0	0.00297619047619048	0	0.000591465990705534	0
"ASV2094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2106"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00204690831556503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420062169201042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169190423822012	0.000674991562605467	0	0	0	0	0	0	8.46740050804403e-05	0.000850340136054422	0	0	0
"ASV2120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118523535387741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247123988069876	0.0014498933901919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2140"	0.0183478481440771	0.843158783783784	0.0111451420792922	0.000939127465209596	0.03125	0.000505731625084289	0.000168392691757178	0.000673514059605994	8.4167999326656e-05	0.000168947457340767	0.000252503997979968	8.43739453256834e-05	0	0.0126230749810654	0	0	0.000252037301520625	0	0	0	0	0.000337012385205156	0	0	0	0	0	0	0	0	0.000422297297297297	0.0232872089098886	0.00496298788694482	0.0014294122593122	0	0.652546689303905	0.0409884959522795	0.690746268656717	0.265683282468633	0.00440230274297325	0.490245543222334	0.702732425344725	0.0302058724265947	0.00135915732246007	0.0679366149696561	0.000252270433905146	0.00473653049141504	0.00302546432473317	0.00109234518107722	0.0056731583403895	0.0328231292517007	0.000337638220646577	0	0
"ASV2151"	0	0	0	0	0	0.000590020229265003	0	0	0	0	0	0.00143435707053662	0	0	0.000168548794876117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43739453256834e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337012385205156	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00441426146010187	0	0.0173987206823028	0	0.000677277345072807	0.00597040026908846	0	0	0	0	0	0	0	0	0	0	0	0.00143641740599916	0
"ASV2233"	0.0235055381753615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329058386770165	0	0	0	0	0.024030677460588	0	0	0.0452082627836099	0	0	0	0	0	0	0	0	8.40265523905554e-05	0.0222692633361558	0.0102040816326531	0	0	0
"ASV2256"	0	0.000760135135135135	0	0	0.000424592391304348	0	0	0	0.0956148472350812	0	0	0.00295308808639892	0	0	0.00252823192314175	0	0	0	0.0172109814457224	0	0	0	0	0	0.000167912014104609	0	0	0	0	0	0.000675675675675676	0	0	0.0104263011855713	0.000167954316425932	0.000169779286926995	0	0.000767590618336887	0.00746015598507969	0	0.00496131853346788	0	0.00025312183597705	0	0	0.000588631012445341	8.45809016324114e-05	0	0	0	0.000425170068027211	0	0	0
