""	"Samp01"	"Samp02"	"Samp03"	"Samp04"	"Samp05"	"Samp06"	"Samp07"	"Samp08"	"Samp09"	"Samp10"	"Samp11"	"Samp12"	"Samp13"	"Samp14"	"Samp15"	"Samp154"	"Samp155"	"Samp156"	"Samp157"	"Samp158"	"Samp159"	"Samp16"	"Samp160"	"Samp161"	"Samp162"	"Samp163"	"Samp164"	"Samp165"	"Samp166"	"Samp167"	"Samp17"	"Samp18"	"Samp19"	"Samp20"	"Samp21"	"Samp22"	"Samp23"	"Samp24"	"Samp25"	"Samp26"	"Samp27"	"Samp28"	"Samp29"	"Samp34"	"Samp35"	"Samp36"	"Samp37"	"Samp38"	"Samp39"	"Samp40"	"Samp88"	"Samp89"	"Samp90"	"Samp91"
"ASV0621"	0	0	0.00110600646588395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0643"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252823192314175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000253378378378378	0.000674991562605467	0	0	0	0	0.00102258201959949	0	0	0	0	0	0	0	0	0	0	0	0	0.00220152413209145	0.00671768707482993	0	0	0
"ASV0672"	0	0	0	0	0.000764266304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229357798165138	0.000590020229265003	0	0	0	0	0	0	0	0	0
"ASV0945"	0.00490403314449987	0.00185810810810811	0.0014463161476944	0.000939127465209596	0.00237771739130435	0.000758597437626433	0.000420981729392944	0	0.000757511993939904	0.00439263389085994	0.00260920797912634	0.000421869726628417	0.0155579850306955	0.00614322982411849	0.00244395752570369	0	0	0	0.000755604063470741	0	0	0.000674024770410313	0	0	0.000503736042313828	0	0	0.0328006728343146	0	0.000419991600167997	0.00160472972972973	0.000759365507931151	0.00117765814266487	0.00336332296308753	0	0.000509337860780985	0.0051981252662974	0.00281449893390192	0.00178026449643947	0.0104131391804944	0.00420450723175244	0	0.00025312183597705	0.0342337750594631	0.00640593391773432	0.00437268752102254	0.00059206631142688	0	0	0.00211685012701101	0.00246598639455782	0.0214400270110577	0.00143641740599916	0.00109695384355751
"ASV0952"	0	0	0.000765696784073507	0	0	8.42886041807148e-05	0	0.000252567772352248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000681721346399659	0	0	0	0	0	0.000337495781302734	0	0	0	0.000422904508162057	0	0	0	0.000425170068027211	0.000253228665484933	0	0.00118133490844654
"ASV1094"	0	0	0	0.00401263553316827	0.00229279891304348	0.000674308833445718	8.41963458785889e-05	0	0.000252503997979968	0	0	0.0167060411744853	0	8.41538332071026e-05	0.000421371987190292	0	0	0	0.000503736042313828	0	0	0	0	0	0.000503736042313828	0	0	0	0.00226662189388852	8.39983200335993e-05	0.000253378378378378	0.019996625042187	0	8.40830740771883e-05	0	0.00152801358234295	0.00161908819769919	0	0.00237368599525263	0.00220115137148662	0	0.000676761695288047	0.000674991562605467	0.00118926265715257	0	0	0.000422904508162057	0	0	0.00914479254868755	0.00782312925170068	0	0	0.000337524259556156
"ASV1129"	0	0	0.00195678067041007	0	0	0.000758597437626433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151120812694148	0	0	0	0	0.00218395632087358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252270433905146	0	0	0	0	0.000595238095238095	0	0	0
"ASV1568"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126379644451934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000844951415293621	0
"ASV1580"	0.00321298723260337	0.00211148648648649	0	0.000853752241099633	0.0394870923913043	0	0	0	0	0.000168947457340767	0.00042083999663328	0	0	0.000252461499621308	0	0	0	0	0	0	0	0.00117954334821805	0	0	0.000335824028209218	0	0	0.00100925147182506	0	0.000419991600167997	0.00101351351351351	0	8.41184387617766e-05	0	0.000251931474638898	0.0109507640067912	0.00213037920749893	0.000170575692963753	0.00406917599186165	0	0.003447695930037	0	0.000337495781302734	0	0	0	0	0	0	0	0.00238095238095238	0	0.00042247570764681	0
"ASV1593"	0.0279868098418872	0.0157094594594595	0.00527480006806194	0.946725860155383	0.105213994565217	0.953809844908968	0.94510398248716	0.00488297693214346	0.00404006396767949	0.979810778847778	0.984092248127262	0.904488693891326	0.0082415272054495	0.952116468905159	0.738749367942019	0.000923361034164358	0.00579685793497438	0.000419780035261523	0.00436571236671984	0.000587840107490763	0.969052224371373	0.00421265481506445	0.000335908632851864	0.000335852225020991	0.432121568298212	0	0.000420698359276399	0.0024390243902439	0.0122565480188046	0.0162116757664847	0.906587837837838	0.617701653729328	0.00294414535666218	0.00159757840746658	0.0047027208599261	0.0380305602716469	0.017980400511291	0.0264392324093817	0.0507799253984402	0.00855062648154419	0.0393541876892028	0.00939006852212165	0.00371245359433007	0.0623513421678559	0.0450101146325017	0.0100908173562059	0.0108263554089487	0.00151273216236659	0.000672212419124443	0.0143945808636749	0.421768707482993	0.00852536507132607	0.977946768060836	0.00767867690490254
"ASV1858"	0	0	0.00187170324995746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153518123667377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2001"	0	0.00160472972972973	0.000765696784073507	0	0.00237771739130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271646859083192	0	0.000682302771855011	0	0	0	0.000338380847644023	0	0	0	0	0	0	0	0.000254022015241321	0	0	0	0
"ASV2140"	0.107719624587808	0.876351351351351	0.0205036583290795	0.00230513105096901	0.439453125	0.00320296695886716	0.00193651595520754	0.00294662401077622	0.0013466879892265	0.00329447541814496	0.00143085598855315	0.0025312183597705	0.00630729122866033	0.0162416898089708	0.00109556716669476	0	0.00285642275056708	0	0.00268659222567375	0	0	0.00168506192602578	0	0.000587741393786734	0	0	0	0	0	0.000335993280134397	0.0027027027027027	0.0281808977387783	0.00689771197846568	0.00235432607416127	0.00125965737319449	0.707894736842105	0.264933958244568	0.778933901918977	0.442268565615463	0.0329326109041653	0.576353851328624	0.717790373064884	0.0363651704353696	0.0310907237512742	0.643543492919757	0.000924991590985537	0.00634356762243085	0.00302546432473317	0.00184858415259222	0.00846740050804403	0.0366496598639456	0.0121549759432768	0.00599915504858471	0.00489410176356426
"ASV2152"	0	0	0.0178662582950485	0.0234781866302399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124618514750763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00523162602312041
"ASV2645"	0.00321298723260337	0.0027027027027027	0.000595541943168283	0.00076837701698967	0.000934103260869565	0.00016857720836143	0.000505178075271533	0	0	0	0	0.000506243671954101	0	0.000589076832449718	0.00176976234619922	0	0	0	0	0	0	0	0	0	0	0	0	0.000252312867956266	0	0	0	0.00286871414107324	0	0	0	0.00271646859083192	0.000766936514699617	0.000170575692963753	0	0.00355570606163224	0.00765220316178944	0.000507571271466035	0	0.000339789330615019	0.00665879973027647	0	0.000676647213059291	0	0	0.0289585097375106	0.0288265306122449	0	0	0.000421905324445194
"ASV2825"	0	0	0	0	0.00127377717391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167954316425932	0	0	0	0	0.000592617676938706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
