"Sample","Reactor","Time","Phase","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80"
"20191227L2","L2",79,"Recycle-80%",39547306.5889771,156026837.597981,375097526.881859,172233657.249689,328528007.090335,13910663.5507314,7980799.11282263,31990073.3897853,197580492.739979,48508986.9173647,44184195.9354497,1087573273.63337,48107716.309023,159615968.790393,101989252.362362,40193798.6233816,35490032.3384142,170873800.731071,51518507.5025542,38833942.1047642,11659098.0603331,34464565.0009572,101342764.816644,20487020.0230446,16006184.3475373,20397852.267947,17098524.1348026,5060450.77141705,17321454.7442626,17901065.3514859,21222679.8125467,104686674.582994,182466021.85291,5595475.25674832,44585.4485890458,7936212.99093062,4302495.67662576,12528516.2155112,30563335.4439867,9764217.05638446,28779917.5004249,22916930.001011,15359692.3131328,9206897.26576399,11748270.3041171,9229192.57105319,15538036.8007008,3633717.31430486,4146446.49434694,54438855.8439598,9831093.99487927,2407614.67267711,3812057.31318649,4971278.52763304,4034983.43396012,10143192.3594369,12885200.7019609,4302495.67662576,2206979.36850629,9675044.81260045,2407614.67267711,2875762.21951357,1783417.94356183,27999671.5890308,1738831.82166983,2742008.34252395,3210151.40067402,2162393.24661428,3745180.37469168,8827921.96271154,2675126.91534275,2452200.79456912,3722885.06940248,3054102.2183952,17544380.8650363,1560491.8227882,2875762.21951357,1783417.94356183,21200388.9959439,20018872.4762082
"20191230L2","L2",82,"Recycle-80%",100165912.234376,172326717.81583,595988794.559841,253564148.133236,539461757.450883,24225872.11538,25744027.776249,52295584.1883964,204304868.747363,87794567.5347354,71514777.4573637,1319728698.85322,148262346.212258,154076560.213784,33367102.2714269,96806593.3698072,110243875.347296,182210871.18768,79783880.0766322,105334098.111811,22966131.6156761,65603668.3641251,79008647.6315664,28231219.1040391,60467778.6775223,31848946.6105578,28748036.3879396,13631091.718559,34982159.5432236,32591876.3455761,33302503.3705468,118189963.904519,298559671.8885,13889500.3605093,355312.860563866,20446637.5778386,8850518.80404912,28748036.3879396,77328991.4588896,29587867.7338855,30912213.6536844,42379128.1064987,34142334.7164926,22546215.9427032,32139657.9625556,25130308.8814209,43218959.4524445,6750940.43918448,17959446.2500485,51520358.2625456,17604135.9971706,8236799.90922096,16150585.7563966,13275781.4656812,14212514.4225546,19509904.6209651,22158596.4605628,15439958.7314259,11402309.0327193,19509904.6209651,7526172.88425024,5135883.16738781,5620404.26045578,39052105.4327627,6524834.50728173,5361995.6185055,6460235.60640163,1970374.0438895,7429264.75410768,31009115.264612,9238131.76697453,10077963.1129204,9205829.05692701,6977052.89030218,19316094.8798949,4005346.9886591,8559807.45205133,2971705.90164307,36177307.6612622,26809965.0540976
"20191231L2","L2",83,"Recycle-80%",45419157.4315565,66930797.9428538,146686579.540318,119576021.273614,223277756.463655,11325961.2060017,8468847.31982137,24010013.8495748,105585126.952425,36847813.1824194,32683855.0280275,543543672.045919,64983345.9234724,54297992.4686405,17014567.9842785,40319911.2350897,39525556.7946484,124624017.710125,20307295.7629974,40768338.2152662,8673841.17845269,29826741.1418472,27866478.6254238,4368952.01302322,25073424.9962412,16438020.4901064,15284922.9111663,4612382.54397241,19653874.9241896,15297735.9988043,16322710.4731528,27853665.5377859,109505651.985272,6418898.37112432,217806.946269264,9122268.15862916,4804565.90556175,13106853.4484737,33337275.8668353,10493170.0932425,5342676.72741594,14400884.6290473,10467546.5085626,7085132.29757005,13696214.0302837,11774388.1861782,19615438.2518717,2242129.71969043,6008910.65386168,21729447.4575666,5893600.63690807,3561784.48494396,6034534.2385416,6880138.43893873,4983936.17951315,9263201.76026269,6290777.85712873,6534208.38807792,3279917.2816769,6367651.20176447,2126819.70273683,1178721.16362,2536810.01059543,6060157.82322152,2126819.70273683,1960262.51642338,2472749.75359764,1089034.73134632,4919875.92251536,12863422.9175245,3702718.08657749,3446474.46799036,3984585.28984454,3728341.67125741,9135081.24626711,1896202.25942558,3138983.68004338,1704018.89783624,11530957.655229,9071018.39867335
"20200102L2","L2",85,"Recycle-80%",132361988.475111,145082213.601461,151567733.985439,331263293.698033,528265515.628078,33932539.1219756,19564060.7951732,63780279.6614693,362651787.794738,113442896.637741,120931701.264368,1322437453.70415,175288262.200391,143218968.339938,48480178.7039054,126485606.242993,125410653.163048,532780298.332702,24401327.9786988,166007873.924129,15694247.0483528,100973494.378406,89149061.0768732,4192298.22572215,94237151.1274133,48838493.9887507,45685310.8116208,13472686.5019844,71448245.5432231,48444347.8979618,50235924.3221882,46509441.0245516,564849592.193154,20137368.1410895,609137.42931888,23720528.2149518,10677818.6096998,48981817.212525,107745668.435341,30922686.3940296,4156467.41977858,29346094.8054646,25977919.5672637,13150202.0230827,41887158.6766875,28235310.9195757,59014674.0898309,6772174.05693578,17879976.7887776,79832841.9946674,16984184.9639596,13974332.2360135,22753074.7782467,27482849.5439415,15945069.9153673,28844449.0714355,17127515.4131434,15801739.4661835,7882957.94282473,17987469.2066083,5088090.05054012,2866529.50417176,5303082.1116111,4478951.89868028,3618990.87980589,3583160.07386232,2329052.96419907,931622.630761539,15873408.3034802,34541677.2738355,11286956.7615596,8778742.54223315,8850411.37952985,6843835.66882293,31854309.0247911,6664681.63910506,10391172.1621512,3583160.07386232,21785621.3415416,22215605.4636835
"20200103L2","L2",86,"Recycle-80%",119540900.113722,253343161.050605,152534579.842746,168917199.980055,444843571.109417,37758348.508698,12466457.7218482,59134070.2837008,350986182.641561,102016069.511613,116244798.011684,789172278.304332,182591139.40927,85763985.2630522,45688576.9052772,158898344.592418,165914808.574989,519707568.893914,55707432.2929141,184842934.612166,35898167.568432,123391791.286616,50649052.8162668,5678439.79006923,158082477.147681,30415541.5060642,23399077.5234934,18079619.672964,55381082.6764647,54761022.3630427,34853860.6692895,39651161.7720545,365573893.081171,24182312.6451401,424251.203191014,25879318.7771814,10541005.5390151,63572389.446926,87852605.6577237,39390083.3981722,2512873.57677841,37562534.7809966,45590673.3396196,21375728.3713891,71111010.1772613,34168529.1133003,66835859.2258744,12825439.661388,16186813.0059939,70458310.9443626,26173029.4741541,17296391.1477036,34853860.6692895,30970330.5769191,21082017.6744164,22713752.5638906,13837114.2374402,30448173.8291546,7636517.69960647,19123933.1684929,7440710.56829137,3589819.39539773,11976933.2971742,10997891.0442124,6200589.94144737,3524548.1528306,2480234.65730169,685331.555989135,12792800.7419112,66085263.0237045,23660155.8973757,17459565.9559283,13706571.7523059,12955975.5501359,36583499.1244212,8191306.77046133,13771842.994873,6853289.1743461,25748776.2920472,26923625.676324
"20200106L2","L2",89,"Closing-II",181953214.90358,168271313.317499,171780314.884799,232302616.095881,326112183.61835,49963089.9219658,46357507.3106156,51411760.4121893,274861385.159978,106718840.114947,119274001.571371,353894491.742196,129801019.179137,66542338.9414261,38953179.9998148,100183722.841799,148923491.590059,638220535.290052,27138453.8556432,150855054.394668,13939444.5839482,155683958.179724,44747868.4136417,4539173.55877102,162090307.180404,66574532.6227761,58075652.410737,2736379.02662954,75202174.6543501,69761610.282441,26011713.7259875,38599062.4108296,348357346.326237,24369881.1476636,676047.949553052,15194959.4390041,1062359.2198883,86823745.163354,94807539.3796577,58075652.410737,8756416.75697417,48707575.0669099,74687095.1115473,59363360.947143,100570034.112135,34124276.2147587,77262512.1843593,4442592.51472084,23371909.2904754,61745622.3847873,23146559.9739577,24337693.9192463,59942834.3055786,42236838.7035299,45069798.7742096,18961510.4571046,13553133.3136129,36088032.7007177,9207115.39000954,28812480.1153172,14776454.4873188,1899369.12325892,12812698.0013598,4828903.78505609,16225124.9775424,643854.268202994,193156.280460898,96577.817583813,8595454.80315661,59942834.3055786,41335441.4374591,34414012.8939765,36216800.9731852,16675823.6105777,52763856.3112954,5633726.46000938,34027695.1707085,3637776.29270028,66606719.8511935,26655567.9941905
"20200107L2","L2",90,"Closing-II",80684103.2588949,106563477.080925,125847045.958534,147901769.890651,243976083.154247,27413813.1510376,11244930.4523867,42987244.045831,265412449.223613,70034624.6103655,96349140.0018936,552536091.254891,124724842.140133,74866966.4115832,39506125.2803692,75668540.5675845,103448790.901966,470913005.067687,38086193.2616183,95181133.2593893,10718183.0346834,90738125.5067259,40009971.2360213,9252448.09182979,80477985.503592,35933396.0698611,18665211.0148598,6916434.60682103,67469591.9080025,35635667.8695119,19879025.2783079,42116965.5036759,168719778.097268,14565734.3866483,91608.6063098868,20634791.9133655,5359093.8157622,46353850.9041953,92936725.6225858,30780424.6062428,7878323.59402253,23932694.3855757,18092660.6730538,15481820.4497472,48048609.6612441,22077625.3941677,56224656.8587747,3252099.54810763,14268010.7831402,57919415.6158235,8771503.59822904,12664862.4711377,19764513.3712103,21298952.7002178,14382518.0933968,14153498.8760426,12756468.3193429,23199829.2125695,6389687.18911765,16008567.8674506,4374303.36650938,2702446.0715119,8153145.73547936,7511891.0075194,4511712.13881728,2610840.22330663,2839859.44066083,1740561.68115143,6985138.99297498,41155076.5164744,15092486.4011927,13351924.7200413,14703147.7557973,12367134.2707885,19169056.9705119,6091958.98876846,10695281.572632,4557519.65976095,32498080.2285019,15619233.8188961
"20200108L2","L2",91,"Closing-II",47040651.9029051,44555528.4459191,82857030.6108449,131087243.697928,142028845.74204,7502478.27649927,11330271.9118346,39844396.3582693,60950267.8263294,19186083.1974992,23555658.0664889,337352372.039739,86649492.1311439,43530859.1616988,10058265.9635579,29715463.7928783,77710118.3781706,87803718.8285252,87367938.6835007,49443328.2240319,8197368.50432491,29644797.1910453,27041896.8549243,55567799.4636246,30033464.6870074,32129918.2762708,15169843.7094354,5594468.16820399,17690299.2814577,8091369.7874555,7526032.22927002,48524657.656681,6725140.91281454,5464913.12680342,70667.0761851648,15487846.9753249,3026902.31887982,15169843.7094354,27913457.1449733,24650996.3243027,12566943.3733145,19350975.097457,8480037.28341766,5429578.64000666,18408748.2055749,9328041.24893546,29209017.0460208,3227126.3338739,9222040.16030563,14887177.3021031,33849482.5318375,6053804.63775965,17360520.225063,6984253.36737612,10376266.8576869,4452019.63308828,13450281.8256291,11742495.7323279,5017354.81951334,11660050.9682292,3568681.18077372,10234933.6540208,4722910.24991544,28455236.0068672,2084675.42699777,2202454.67789318,2779568.02658383,2438010.80792359,5712247.41909941,21035202.4944666,6348249.20735755,5535579.7286365,5688691.09456824,7149142.89557345,5535579.7286365,3380237.69980565,5064467.46857568,2767789.86431825,16759850.5518412,10070044.1258234
"20200109L2","L2",92,"Closing-II",101661628.638843,12519905.492367,29112952.319628,68528951.7753688,42133653.6036705,3926242.48439174,4861061.74137267,23410553.3807284,29780680.9335686,5588885.58280237,13708461.1946262,15658227.5702801,31690383.3783764,3165031.81099706,3285223.6035351,7572038.79042125,144836937.75671,21253790.2519635,121900471.772133,66372189.9841637,2263599.38598112,23130107.2023662,2270276.48486214,67761064.0030931,14115774.9268476,18696391.8274179,5755817.06750758,4400329.88054317,5749139.96862656,7017823.53257779,4487133.50355635,32752071.5267765,1322101.6925593,2537367.12790246,20031.8316670208,4313524.91997011,2176794.42540806,13080796.5115316,7932611.49291565,31269714.1108331,2537367.12790246,2951359.2965648,1128460.47477011,1422260.8508944,6036263.24586982,7712261.87960237,9621964.32441024,2443885.06844838,15391136.9272397,6169809.23616992,51314917.3638943,2290307.78150522,3545637.1476944,4019724.54384582,1963120.57341594,8032770.65125075,7952644.12711859,4507166.1377593,1315424.59367827,5001284.83055379,694437.009464704,15150754.6797235,1909702.44480787,43896455.8604162,494118.692794496,2170117.32652704,1802866.18759174,1395552.4553703,3372027.22654829,5535467.4541943,2450562.16732941,2550721.32566451,2577431.05874848,3178386.0087591,1368842.72228634,2263599.38598112,1201911.23758112,1469001.88062144,6310032.32535104,4093173.96909696
"20200110L2","L2",93,"Closing-II",203420682.560981,10163221.5729533,68494337.9600733,69103661.6633162,45855583.656347,12014631.5224954,4515252.02541968,20451434.6312315,27997685.5437954,10296024.4388481,16045548.1979279,11405307.8192524,39285814.8243273,2484169.36052916,3671571.24473569,4335579.31007128,57346821.3599714,32848847.2921678,99390221.0911527,25521327.563836,1320203.18406673,40668512.1850219,1671737.23419371,125138092.785825,17357940.0014248,15717449.855545,6257294.81681111,4210589.39078092,6655700.2824263,10147598.8118136,3874679.66782821,74157931.8347811,1812349.91462374,4749607.53682614,31247.4015208604,5280812.73626692,1945151.21448394,15131561.8600462,7718112.24734247,15748698.5098935,3921551.08331642,5812019.50174231,1859221.33011195,1999834.01054198,12248987.0339018,7030668.47426278,15686202.7672311,1226460.35309031,19115607.1199905,6358849.02835737,29802224.0778493,3195048.84135295,4827726.04062829,6944738.5898908,3210671.60249262,6749441.54736812,5499545.48653371,5663593.87470784,2484169.36052916,6007316.54426499,968670.69997435,20427998.9234874,2851326.17179581,95156195.9926277,648383.738161313,1570183.02264745,2679466.40305184,1960775.54165821,3523145.61770123,7530628.15142423,4608993.29036151,3929362.46388625,3859055.34065394,5023021.51711637,5007398.75597669,2671653.4564474,2507605.06827326,2359179.4412388,7194718.42847152,8296188.86227147
"20200113L2","L2",96,"Closing-II",48382344.0725745,6451845.5678156,54808205.1444957,13431167.446425,4266584.55758113,3346748.8153339,1850066.01181769,5279963.75608258,8229156.13664628,3364937.54590825,7057274.32491325,2572423.43837107,10022057.1947377,1153693.08115868,1634398.44485986,1296605.2051295,6776646.03890914,5386498.4189047,3196040.92604306,6394680.61408935,776923.61827641,10110402.6062959,1408336.87126843,1831877.28124335,4716109.46345042,3679344.53105782,2660768.84992921,1122512.10263716,1486288.7968826,1925419.69611829,519681.586853088,82738485.4275703,29803731.5080938,2037151.36225722,90944.173561362,2881633.94089349,919836.262936866,3544227.65171739,2905019.15409499,1808491.5473522,2933601.89130294,1655185.41674779,6121847.57271562,5202011.30977876,10562525.7534787,1907230.96554395,10271503.9815307,602830.515784068,5867203.78260588,2855649.44499912,3671549.28642744,914639.259620064,1644791.93080382,1145897.8365283,2782894.0020121,530075.07279705,1244637.25472005,3694935.02031859,1899435.72091357,485902.36701798,1166684.80841623,706766.937292614,1416132.11589881,1273219.47123835,1309597.45307668,511886.342222706,368973.69756225,566452.533945738,1192668.78362095,3780682.71125279,2198252.73749202,4219813.61048848,3650762.31453952,2377542.84330116,997788.188551044,602830.515784068,2034553.12094364,701569.933975812,12225506.4148569,1759121.83825633
